level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	23	1	1	7	1574	2245	6	16	85	1
4	1	23	1	2	0	69	2279	1128	16	-1	
5	1	23	1	2	1	69	2279	74	16	93	Copyright:
5	1	23	1	2	2	149	2279	265	16	91	www.landservices.com.au/copyright
5	1	23	1	2	3	420	2280	2	15	96	|
5	1	23	1	2	4	429	2279	57	16	93	Privacy:
5	1	23	1	2	5	492	2279	249	16	92	www.landservices.com.au/privacy
5	1	23	1	2	6	748	2279	1	16	96	|
5	1	23	1	2	7	756	2279	46	13	96	Terms
5	1	23	1	2	8	808	2279	13	13	96	of
5	1	23	1	2	9	827	2279	32	13	93	Use:
5	1	23	1	2	10	865	2279	332	13	13	www.landservices.com.au/sailis-terms-of-use
